Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
PTGDR2,FBLIM1,EZH2,IL17RB,HSD3B7
ADGRG1,FBRS,FABP3,IL1RAP,HSF4
GPR63,FBXW4,RAMAC,IMP4,HSPA12B
GPRC5D,FCER1G,TCAF1,INF2,HSPB1
GPT,FCGR1A,FAM117B,INHBC,HSPB2
GPX8,FCGR2B,FAM120B,INPP5B,HSPB8
GRAMD4,FCGR2A,AMER3,INPPL1,HSPG2
GREB1,FCGR3A,FAM131A,INSC,HTR2A
GRHL1,FCGRT,FAM131C,IQCJ,HTRA3
GRIN2C,FCRL1,C1QTNF12,IRX1,HYAL2
GRM3,FERMT3,ALKAL2,ISG20,ICAM2
GRM5,FES,SHISAL2B,ITGA8,IER5L
GSG1L,FEZ2,FAM163B,ITGAD,IFI44
GSTK1,FGD2,FAM171A2,ITGAV,IFIH1
GSTM5,FGR,FAM185A,ITGB4,IFITM2
GSTM3,FHL3,FAM189B,ITGB7,IFITM3
GSTZ1,FIGNL2,INSYN2A,ITGB8,LMNTD1
GUCY1A1,FKBP5,FAM43B,ITIH2,IFNAR1
GULP1,FLCN,TLCD3B,ITIH5,IGBP1
LARGE2,FMNL3,RIPOR2,ITPR2,IGF1R
GYS1,FNDC7,FAM71E1,JAM3,IGFBP1
HACL1,FNIP2,FAM78B,JMY,IGFBP7
HADH,FOLR2,FAM89B,JOSD2,IGSF5
HADHA,FOXP4,FANK1,KANK1,IL13RA1
HAPLN1,FPR1,FASTKD5,KATNAL1,IL15
HECTD2,FPR2,FAT2,KAZN,IL17RC
HEPACAM,FRRS1,FAT3,KBTBD7,IL17RE
HERC6,FSCN1,FBXL16,KCND2,IL1R1
HES5,FTL,FBXL19,KCNH8,IL20RB
HEY2,FUCA1,FBXL2,KCNIP3,IL27RA
HGF,FURIN,FBXO30,KCNJ16,IL2RG
HHIPL1,FYB1,FBXO41,KCNK1,IL3RA
HIF3A,G3BP1,FCHSD1,KCNK10,IL6
HIGD1A,GAB2,FGF13,KCNMB4,IMPDH1
H3C4,GABRD,FGF9,KCTD13,INSL3
H3C11,GADD45B,FIBCD1,KCTD15,INSR
HMGCR,GAL3ST4,FIBIN,KCTD4,IPMK
HMGN1,GALK2,FKBP11,KHDRBS2,IQCG
HOGA1,GALM,FKBP1B,KIAA1549,IQGAP1
RIDA,GALNS,FKBP3,KIF13A,IRF7
HS3ST3A1,GALNT12,FLRT3,KIF13B,IRF9
HS3ST3B1,GALT,FLYWCH1,KIF18B,IRX3
HSD11B1,GANC,FLYWCH2,KIF19,ISM1
HSPA2,GAS6,FMN1,KIF2C,ISYNA1
HTRA1,GATM,FNBP4,KIF5A,ITGA1
ID3,GBA,FNDC3B,KIFC1,ITGA2B
ID4,GBGT1,FOXG1,KL,ITGA4
IDI1,GBP7,FOXJ3,KLC3,ITGB1
IFT122,GCN1,FOXK2,KLHDC4,ITGB3BP
IFT140,GCNT1,FOXO3,KLHL13,ITM2A
IGDCC4,GDF15,FOXO6,KLK6,ITPR1
IGF2BP3,GDPGP1,FRAT1,KNDC1,ITPRIP
IGFBP2,GGA2,FRMPD3,KNTC1,ITSN2
IGFBP5,GGH,FRMPD4,KRT1,JAG1
IGSF1,GGT5,FSIP1,KRT17,JAG2
IKBIP,GIMAP1-GIMAP5,FSTL4,AFG1L,JAK2
IL15RA,GIT2,FUT7,LAD1,AJUBA
IL17RD,GLA,FXYD7,LARP6,KANK3
IL18,GLIPR1,GABRA1,LBH,KANK4
IL33,GLS,GABRA5,DENND11,KCNA5
IL6ST,GLUL,GABRB2,LCORL,KCNE3
IMMT,CSTA,GABRG2,LDB3,KCNG2
IMPA2,GMFG,GABRG3,LDLR,KCNJ14
IMPG2,GMIP,GAD1,P3H4,KCNJ15
INCA1,GMPR,GAD2,LGI3,KCNJ2
INO80D,GNA15,GALNT9,LGR5,KCNJ8
INSIG1,GNGT2,GALNTL6,LHFPL3,KCNK5
INTU,GNPDA1,GALR1,LIG1,KCNMB1
IQCD,GNS,GALR2,LIMS2,KCNQ1
IQCK,GOLM1,GAP43,LINGO3,KCNRG
IQUB,LILRB4,GARNL3,LIX1L,KCP
IRS2,GP9,CASTOR2,LLPH,KCTD10
ITGA2,GPAT2,GBX2,LMCD1,KDR
ITGA6,GPATCH3,GCA,LMNB1,KIF26A
ITGA7,GPNMB,GCGR,LMO1,KITLG
ITIH3,ADGRG5,GDA,LNX1,KLF11
ITM2C,GPR132,GDAP1,LOX,KLHL4
ITPKB,GPR137B,GDAP1L1,LPAR3,KLRG1
ITSN1,GPR157,GDF5,ADGRL3,KTI12
IVD,GPR18,GDI1,LPO,LALBA
IYD,GPR183,GDNF,LRFN2,LAMA1
JAK1,GPR34,GDPD1,LRRC17,LAMA4
JAM2,GPR35,GEMIN7,LRRC42,LAMA5
JUN,GPR65,GFRA4,LRRC4C,LAMB1
KALRN,C5AR2,GHSR,LRRC8B,LAMB2
KANK2,GPR84,GIPC2,LRRN1,LAMC1
KBTBD11,GPSM3,GIPR,LRRN3,LBP
KCNC4,GPX1,GJD2,LRRTM1,LDHA
KCNE5,GRAMD1A,GLB1L2,LRRTM3,LDLRAD3
KCNJ10,GRB2,GLCE,LRRTM4,LEF1
KCNN3,GRN,GLE1,LSAMP,LEPR
C5orf15,GSDMD,GLIS1,LTK,LIMS1
KCTD14,GSG1,GLOD5,LUM,LIPC
KCTD5,GUCA1A,GLRA2,LYPD1,LIPT2
KDM5D,GUSB,GLRA3,LYPD3,LMBR1
KIDINS220,HLA-DQA1,GNAQ,LYPD6,LMO2
KIF18A,HLA-A,GNAZ,MACROD2,LNX2
KIF1B,HLA-DMB,GNG2,MAFA,LOXL2
KIF1C,HLA-DRA,GNG3,MAG,LOXL4
KIF24,HLA-DRB5,GNL3L,MAGEH1,LPAR6
KIRREL2,HLA-DOA,GNRH1,MAGI2,ADGRL2
KLF15,HLA-DOB,GOLGA7B,MAL,LRP8
KLF4,HLA-E,GPC1,MAP1A,LRRC18
KLHL25,H6PD,GPR101,MAP1LC3B,LRRC32
KRTAP7-1,HAAO,GPR12,MAPK8IP1,LRRC55
L2HGDH,HAVCR2,ADGRA1,MAPKAP1,LRRC8C
L3HYPDH,HCK,GPR135,MARVELD3,NAA38
L3MBTL3,HCLS1,GPR139,MATN1,LSR
LAMA2,HCST,GPR149,MATN2,LTA4H
LATS1,HDC,GPR151,MATN4,LTBP4
LCA5,HEATR5A,GPR173,MB21D2,LUZP1
LCAT,MROH1,GPR21,MBNL2,LY6G5C
LCLAT1,HEBP1,GPR22,MBP,LY75
LDOC1,HERPUD1,GPR26,MC4R,LYPLA1
LENEP,HEXA,GPR27,MC5R,LYSMD3
LENG8,HEXB,GPR52,MCF2,LZTS1
LENG9,HFE,GPR6,MCM10,MAGIX
P3H1,HGSNAT,GPR61,MCM5,MALL
LGALS12,HK2,ADGRG2,MCM6,MALT1
LGALS4,HK3,GPR83,MDK,MAMSTR
LGALSL,HLTF,GPR88,MDM1,MAN2A1
LGI4,HMGA1,GPRASP1,ME3,MANSC1
LGR4,ARHGAP45,GPRIN1,MEGF11,MAOA
LGR6,HMOX1,GPRIN3,MFAP4,MAP4K2
LHCGR,HP,GPSM1,MICAL3,MAPK12
LHFPL6,HPGD,GRAMD1B,MICALL1,MARVELD1
LIFR,HPGDS,GREB1L,MIF4GD,MARVELD2
LIMCH1,HPN,GREM2,MINK1,MBD2
LIMD1,HPRT1,GRIA1,MKX,MECOM
LINGO1,HPS4,GRID2IP,MMP15,MEF2A
LIPG,HPS6,GRIN1,MMP16,MEGF6
LIPT1,HPSE,GRIN2A,MMP17,MEOX1
LIX1,HRH2,GRIN2B,MMP23B,TLNRD1
LONRF3,HS1BP3,GRIN2D,MOBP,MFSD2A
LOXL1,HS6ST1,GRIP2,MOG,MFSD6L
LPIN3,HSD17B1,GRM1,ATP5MPL,FLVCR2
LPP,HSF2BP,GRM2,MPZ,MGP
LRCH3,HSPA1A,GRM7,MRGPRF,MGST2
LRIG1,HSPA1L,GRM8,MRPS18B,MICB
LRP4,HSPB3,GRPR,MSC,MIPOL1
CARMIL1,HTATIP2,GSC,MTAP,MRTFB
LRRC23,HTRA2,GSE1,MAP4,MLKL
LRRC38,HVCN1,GTF2E1,MTMR7,AFDN
LRRC52,ICAM1,GUCY1A2,MYBL1,MMP25
LRRC8A,ICOS,GXYLT2,MYBPC1,MMP28
LRRK2,ICOSLG,H1-10,MYCL,MMRN1
LRTM2,ID2,HAS3,MYLK3,MMRN2
LTBP1,IDH2,HAUS3,MYO1D,MOGAT2
LXN,IDUA,HCN1,MYRF,MOSPD1
LYRM4,IER3,HCN3,MYT1,MPP1
MAGT1,IER5,HCN4,NAP1L5,MPP7
MAMDC2,IFI16,HCRTR2,NAV2,MPRIP
MAMDC4,IFI30,HDGFL3,NCALD,MSMP
MAOB,IFI35,HDX,NCAM2,MSRB3
MAP2,IFNB1,MROH7,NCEH1,MSX1
MAP4,IFNGR1,HECW1,NDRG1,MTFR1
MAPK4,IFNGR2,HELLS,NECAB2,MTMR6
MARS2,IGSF6,HEXIM2,NEFL,MTUS1
MASP2,IKZF1,HFM1,NELL2,MUC13
MAST4,IL10,HIRIP3,NEO1,MUSTN1
MAVS,IL10RA,HMG20A,NEU4,MYCT1
MBOAT2,IL12B,JPT1,NEUROG2,MYH10
MCC,IL16,HOMER2,NFASC,MYL12A
MCEE,IL17RA,HOOK1,SAPCD1,MYL4
MDM4,IL1A,HOOK2,NGB,MYL6
MDN1,IL1B,HPCA,NHSL2,MYL9
MED12,IL1R2,HRH3,NINJ2,MYLK
MED12L,IL1RL1,HS3ST5,NKAIN1,MYLPF
MED7,IL1RL2,HS3ST6,NKX2-2,MYO1B
MEGF10,IL1RN,HS6ST3,NKX2-8,MYO1E
METTL11B,IL21R,HSPA12A,NKX6-2,MYOF
MFAP3L,IL27,HTR1A,NLGN3,N4BP3
MFGE8,IL2RB,HTR1B,NMNAT2,NAALAD2
MGA,IL4I1,HTR1D,NMRAL1,NAMPT
MGST1,IL4R,HTR1F,NOB1,NCAPH
MICAL1,IL6R,HTR2C,NOL3,NCK1
MICALL2,IL7R,HTR3A,NPSR1,NDUFA4L2
MID1IP1,ILDR1,HTR7,NPTX2,NET1
MIER3,INPP4B,HYLS1,NRDC,NID1
MKS1,INPP5D,ICA1L,NRG2,NID2
MLC1,IP6K3,IDS,NRTN,NLRC3
KMT2C,IRAK2,IGF1,NTN1,NME2
MMAB,IRAK4,IGF2BP2,NUDT17,NMI
MMD2,IRF1,IGF2R,NUDT18,NOD1
MMP14,IRF4,IGFBPL1,NUDT8,NODAL
MORC3,IRF5,IGSF3,NUF2,NOMO1
MPC1,IRF8,IGSF9,NUP210,NOS2
MPDZ,ACOD1,IL12A,NXPH1,NOS3
MPP5,ISCU,IL1RAPL2,ODF3L2,NOSTRIN
MPP6,ISG15,INA,OLFM2,NOTCH4
MRAS,ITGAE,INCENP,OLIG1,NOTUM
MSI2,ITGAL,ING1,OLIG2,NOX4
MSX2,ITGAM,INHA,OMP,NOXO1
MAP7D3,ITGAX,INPP5F,ONECUT2,NPM1
MTERF1,ITGB2,INPP5J,OPALIN,NPR1
MTERF4,ITGB3,INSL5,OPCML,NPR3
MTHFD1,ITGB5,INSM1,OSBPL6,NR1H3
TESMIN,ITPKC,INSM2,OTUD7B,NRBP1
MTM1,ITPR3,INSRR,PACS2,NRIP1
MTMR11,ITPRIPL1,IPCEF1,PALM2AKAP2,NRP1
MTX3,JAK3,IQCB1,PANK3,NSA2
MMUT,JDP2,IQSEC3,PAPSS1,NSMCE1
MYH11,JUNB,IRS1,PARVB,NT5DC1
MYH14,JUND,IRX2,PBK,NUBPL
MYH15,KCNA7,ISL1,PCBD1,NUDT14
MYH6,KCNAB1,ISLR,PCBP4,NUP37
MYLK2,KCND1,ISLR2,PCDH15,NXN
MYO10,KCNK12,ISOC1,PCDH20,OAS1
MYO19,KCNK6,NMRK2,PCDH7,OCLN
MYO6,KCNN4,ITGBL1,PCDHB2,ODC1
MYOM3,KCTD12,ITPKA,PCDHB11,ODF3B
MYRIP,KDM6B,JAKMIP1,PCDHB4,OFD1
NAA16,KHK,JPH4,PCDHGB6,OGN
NACC2,KIF15,KAT5,PCMTD2,OR2AT4
NADK,KLHDC8B,KAZALD1,PCNX3,OR2V1
NADK2,KLHL36,KCNA4,PCOLCE,OSBPL9
NAPRT,KLHL38,KCNB2,PCSK1N,OSMR
NAT2,KLRB1,KCNC1,PCYT2,OSTC
HYAL1,KLRD1,KCNC2,PDCD4,P2RY14
NAT8,KRT31,KCNG1,PDE4B,PAK1IP1
NCAM1,LACC1,KCNG3,PDGFRA,PALMD
NCAN,LACTB2,KCNH1,PDLIM2,PAPLN
NCKAP5,LAG3,KCNH4,PDZRN4,PAQR5
NDE1,LAIR1,KCNH7,PELI1,PARD6G
NDP,LAMP2,KCNIP2,CPQ,PARP9
NDRG2,LAPTM5,KCNIP4,PHF12,PAWR
NEK8,LASP1,KCNJ11,PHF6,PCDH1
NEXN,LAT,KCNJ3,PHLDA3,PCDH12
NFXL1,LAT2,KCNJ5,PHLDB1,PCDH19
NGEF,LBX1,KCNK9,PHOSPHO1,PDCD10
NHSL1,LBX2,KCNMB2,PID1,PDE2A
NIPAL1,LCN2,KCNQ2,PIGQ,PDE5A
NLRX1,LCP1,KCNQ5,PIGZ,PDE7B
NMB,LCP2,KCNS1,PIK3R3,PDGFD
NME7,LDB1,KCNS2,PINK1,PDIA5
NOTCH1,LDHB,KCNT1,PKD2L1,PDLIM1
NOTCH2,LEFTY1,KCTD16,PKIA,PEAR1
NOTCH3,P3H2,KCTD8,PLAAT3,PECAM1
NPAS2,LFNG,KDM2B,PLCB1,PGLYRP1
NPAS3,LGALS1,KDM4A,PLEKHA1,PGM1
NPFF,LGALS3,KDM4B,PLEKHB1,PGM5
NPHP3,LGALS3BP,KDM5A,PLEKHH1,PHACTR2
NPHS1,LGALS8,KDM5B,PLEKHM1,PHACTR4
NPS,LGALS9B,KHDC4,PLEKHN1,PHF7
NQO1,LGMN,KIAA1109,PLIN3,PHLDB2
NR1D1,LIF,KIF11,PLK1,PIK3R6
NR2E1,LILRA5,KIF17,PLP1,PIP5K1A
NR2F1,LILRB3,KIF21B,PLXNB3,PIP5K1B
NR3C2,LIMD2,KIF22,PNLIP,PIR
NR4A1,LIMK1,KIF4A,PODN,PKN3
NR4A2,LIPA,KIF5C,POLG,PLA1A
NR4A3,LIPH,KIFC2,PLPP4,PLA2G2F
NRARP,LITAF,KIFC1,PPFIA3,PLEKHG5
NRCAM,LPAR5,KISS1R,PPFIBP1,PLEKHH2
NRXN1,LPCAT2,KIT,PPFIBP2,PLK2
NSDHL,LPCAT3,KLC2,PPP1R14A,PLP2
NTRK3,LPXN,KLF12,PPP1R14C,PLS3
NTSR2,LRCH1,KLF8,PPP1R16B,PLTP
NUDT12,LRCH4,KLHDC8A,PPP2R3A,PLVAP
NUDT19,IRAG2,KLHL1,PPP3R2,PLXND1
NUDT2,LRP5,KLHL12,PPP4R4,PNPLA6
NUDT7,LRRC25,KLHL14,DESI1,PNRC2
NUP93,LRRC3,KLHL29,PRC1,POLK
NVL,NRROS,KLHL33,PRELP,POLR2K
NWD1,LRRC39,KLHL34,PRICKLE1,POMC
OAT,LRRFIP1,KMT2A,PRIM1,POMP
ODF2L,LRRK1,KMT2B,PRIM2,POP5
ODF3,LRWD1,KRT73,PRKCB,POU2AF1
TENM3,LSM10,KRT79,PRKCQ,PLPP6
OLFML1,LSM5,KSR1,PRKG1,PPEF1
OLFML2A,LSP1,KSR2,PRKG2,PPIC
OR2H2,LTB,L1CAM,PROKR1,PPM1J
OPLAH,LTB4R,L3MBTL1,PRR11,PPP1R13B
OPTC,LTC4S,L3MBTL4,PRR16,PPP1R2
OSR2,LTF,LAMA3,PRR18,SLC66A2
OTX1,LY6D,LANCL2,PRR5L,PRAMEF8
OVOL1,LY86,CERS6,PRSS41,PRCP
OXA1L,LY9,LEFTY2,PRSS50,PRELID2
OXNAD1,LYL1,LGALS7,PSIP1,PREP
P2RX6,LYN,LGI1,PSRC1,PREX2
P4HA2,LYVE1,LGI2,PSTPIP2,PRICKLE3
P4HA3,LYZ,LHFPL1,PTER,CAVIN3
PABPC4L,MAF,LHFPL4,PTGER2,PRKCH
PACSIN3,MAFB,LHFPL5,PTK7,PRKD2
PALLD,MAN1C1,LHX1,PTOV1,PRND
PAMR1,MAN2B1,LHX5,PTPDC1,PROCR
PAPSS2,MAN2B2,LHX6,PTPRO,PROM1
PAQR4,MANBA,LHX8,PUS7,PROP1
PAQR6,MAP2K3,LHX9,PUS7L,PRRG2
PAQR7,MAP3K14,LIMK2,PVALB,PSMA8
PAQR8,MAPK13,LIN28B,PYCR1,PSMC3IP
PARD3B,MAPK14,LINGO2,QDPR,PSORS1C2
PARP12,MAPKAPK2,LMNA,QPCT,PTGES
PARP3,MAPKAPK3,LMTK3,R3HDM1,PTGFRN
PARVA,MATK,LMX1A,RAB27B,PTGIS
PAX4,MBNL1,LONRF1,RAB33A,PTGS2
PAX6,MCOLN2,LONRF2,RAB37,PTPN12
PBXIP1,MED11,LPCAT4,RAB39B,PTPRB
PCDH10,MEF2C,LPGAT1,RAB4A,PTPRG
PCDHGC5,METRNL,ADGRL1,RABGAP1L,PTPRK
PCSK9,METTL7A,PLPPR3,RACGAP1,PTPRM
PC,MFSD11,LRCH2,RAD51,CAVIN1
PDE1B,MFSD5,PIDD1,RAD54L,RAB11FIP1
PDE3A,MGAT1,LRFN5,RALGPS1,RAB12
PDE9A,MGAT2,LRIG3,RAP1GAP,RAB13
PDGFC,MGMT,CARMIL3,RAP1GAP2,RAB42
PDGFRB,MKNK1,LRRC24,RAP2A,RAB29
PDK4,MKNK2,LRRC26,RAPGEF1,RAD51AP1
PDLIM5,MLEC,LRRC3B,RAPGEF4,RAD51B
PDP2,MLLT6,LRRN4CL,RASGRF1,RAI14
PDPN,MLPH,LSM11,RASL12,RALY
PDSS1,MLXIPL,LSM14B,RCN1,RAMP2
PDYN,MMP12,LUC7L,RECQL,RAP1B
PDZD11,MMP19,LY6G6C,RFC3,RAPGEF5
PDZRN3,MMP9,LY6H,RFTN1,RAPGEF6
PEAK1,MNT,LYPD6B,RGS6,RASD1
PER3,MOB1A,LYRM7,RHBDL2,RASGRP3
PEX2,MOB3C,MAB21L1,RHOU,RASIP1
PFKM,MOGS,MAB21L3,RHPN2,RASSF1
JADE1,MOV10,MAD2L1,RICTOR,RASSF3
PHF21B,MPEG1,MADD,RIMBP3,RASSF9
PHGDH,MPI,MAGEE1,RIPPLY2,RBMS2
PHKA1,MPO,MAGEL2,RLBP1,RBP1
PHKB,MRC1,MAL2,RND2,RBP7
PHKG1,MRGPRX3,MAML3,RNF122,RBPMS
PHYHIPL,MS4A6A,MAP3K12,RNF128,RD3
PIGM,MS4A7,MAP3K15,OBI1,RDM1
PIKFYVE,MSH5,MAP3K4,RNF220,REC8
PIPOX,MSN,MAP3K9,RNF43,REM1
PKD2,MSR1,MAP4K3,RNF7,RET
PKDREJ,MAP1S,MAPK8,ROCK1,RGL1
PKP2,MTHFR,MAPK8IP2,RPRM,RGS12
PLA2G3,MTHFS,MAPK9,RRAS2,RGS3
PLA2G5,MTR,MAPT,RRM1,RGS5
PLA2G7,MVP,MARCHF11,RRM2,RHOBTB1
PLAGL1,MXRA8,MARCHF4,RSAD2,RHOC
PLCB3,MYADML2,MARCHF9,RTKN,RHOD
PLCD4,MYBPC3,MARK1,RUNX2,RHOJ
PLCH1,MYBPH,MAST1,RXRG,RIPK1
PLD2,MYC,MBLAC2,RYR3,RIPPLY3
PLEC,MYD88,MCHR1,S100A1,RMND5B
PLOD2,MYH9,MCTP1,S100A13,RNASEH2C
PLS1,MYL2,MCTP2,S100A14,RNF144B
PLSCR1,MYLIP,MDGA1,S100A16,RNF183
PLXNB1,MYO18B,MECP2,S100A3,RNF19A
PLXNC1,MYO1C,MED10,S100A4,ROBO4
PM20D1,MYO1F,MED14,S1PR5,ROCK2
PMM1,MYO1G,MEI4,SAMD4B,PTBP3
POLR3G,MYO7A,MESP1,SAPCD2,RPAP3
POMT1,MYOM1,MESP2,SCD,RPF1
PON2,N4BP2L1,MET,SCEL,RPH3AL
POU2F1,NAAA,MEX3A,SCFD2,RPL17
POU3F2,NAB2,MEX3D,SCN1A,RPL23
POU3F4,NAGA,MGAT4C,SCRG1,RPL27
PLPP3,NAGK,MGAT5,SDC3,RPL31
PPARA,NAGLU,MGST3,SDR42E1,RPL35
PPFIA1,NAGPA,MIA,SECISBP2L,RPL37
PPIL6,NAIP,MICAL2,SEMA3E,RPL38
PPP1R12A,NAPSA,MICU3,SEMA4D,RPL39
PPP1R1A,NAT1,MINPP1,SEMA4F,RPL4
PPP1R3C,NAT9,MKI67,SEMA5A,RPS16
PPP1R3D,NBEAL2,MKRN3,SEMA6A,RPS18
PPP1R3G,NCF1,MLF1,SEPTIN4,RPS24
PPP2R2B,NCF2,MLLT11,SEPTIN8,RPS27L
PPP2R5A,NCF4,MME,SERINC2,RPS6KA3
PPWD1,NCKAP1L,MMP11,SERPINA3,RPS7
PRDM16,NCKAP5L,MMP24,SERPINB1,RPSA
PRDX6,NCOA3,MN1,SERPIND1,RRAS
PREX1,NDST2,MND1,SERPINE2,RTP4
PRKD1,NECAP2,MOAP1,SGCD,RXFP4
PRKDC,NEK6,MORC2,SGCZ,SAMD9L
PROCA1,NEK7,MPPED1,SGK2,SAV1
PRODH,NEU1,MPPED2,SH3BP4,SCARB1
PRPF38B,NEURL1,MRAP2,SH3D19,SCARF1
PRPF39,NEURL3,MRGBP,SH3GL3,SCGB3A1
PRPF4B,NFAM1,MSL1,SH3RF1,SDCBP
PRRC2C,NFATC1,MST1R,SHC4,SDCBP2
PRRX2,NFATC2,MSTN,SHISA7,CAVIN2
PRSS35,NFE2,MAP1B,SHROOM2,SEC61B
PRSS45P,NFKB1,MAP6,SHROOM3,SEC61G
PSD2,NFKB2,MAP7D2,SIKE1,SECTM1
PSPH,NFKBIB,MAP9,SIRT2,SELE
PTAR1,NFKBID,MTFP1,SI,SELP
PTCH1,NFKBIE,MTSS1,SIX4,SEMA3G
PTCH2,NFKBIZ,MTUS2,SLAIN1,SEMA4C
PTDSS2,NFYA,MUC6,SLC12A2,SEMA7A
PTN,NHLRC3,PWWP3A,SLC13A4,SELENOP
PTP4A1,NHP2,MYH8,SLC16A8,SEPTIN1
HACD3,HCAR2,MYL6B,SLC1A1,SEPTIN10
HACD2,NINJ1,MYO5B,SLC22A23,SERPINA1
PTPMT1,NKG7,MYO9A,SLC22A3,SERPINB6
PTPN13,NLRC4,MYT1L,SLC22A6,SERPINB9
PTPRA,NLRP1,PHF24,SLC24A4,SERPINH1
PTPRF,NLRP3,NANOS1,SLC25A13,SERTAD1
PTPRZ1,NME4,NANOS2,SLC27A6,SESTD1
PTX3,NMT1,NAP1L2,SLC35F1,SGMS1
PXMP2,NOD2,NAP1L3,SLC41A2,SGMS2
PXMP4,NOP2,NAPB,SLC44A1,SGPP2
PYGB,NPC2,NASP,SLC45A3,SH3BGRL
PYROXD1,NPL,NBEA,SLC48A1,SH3BP5
RAB30,NRAP,NCAPG,SLC4A1,SH3TC2
RAB34,NRBF2,NCK2,SLC4A8,SHE
RANBP3L,NT5E,NCOA2,SLC5A11,SEM1
RAPGEF3,NTPCR,NCS1,SLC6A13,SHROOM1
RARRES1,NUAK1,NDN,SLC6A19,SHROOM4
RASA2,NUAK2,NDRG4,SLCO3A1,SIGIRR
RASGRP1,NUMB,NDST3,SLITRK1,SLAIN2
RASL11A,NUP62,NDST4,SLITRK3,SLC16A1
RASL11B,NUPR1,NDUFA1,SLITRK4,SLC16A11
RAVER2,OAF,NDUFAF6,SLPI,SLC16A13
RB1,OARD1,NEB,SMARCB1,SLC16A2
RBM20,OAS2,NECAB1,SMOC1,SLC16A4
RBM26,OASL,NEDD4L,SMTNL2,SLC16A9
RBM46,OLFM4,NEFH,SMYD2,SLC19A3
RBPMS2,OLFML3,NEGR1,SNTG1,SLC22A18
RCN2,OR5V1,NELL1,SNX11,SLC22A8
RDH5,OPHN1,NEUROD1,SNX15,SLC23A3
RETSAT,ORAI1,NEUROD2,SNX22,SLC25A20
RFTN2,ORAI3,NEUROD6,SNX25,SLC25A24
RFX4,OSBPL11,NFIB,SNX30,SLC2A1
RGMA,OSGEP,NFIX,SNX32,SLC30A1
RGS20,OSGIN1,NGFR,SORCS3,SLC31A1
RGS22,OSM,SLC9B2,SOX10,SLC31A2
RGS7,OTUD1,NHLH1,SOX3,SLC35B3
