Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
RHBDF1,P2RX1,NHLH2,SOX6,SLC35D2
RHCG,P2RX4,NIPSNAP1,SOX8,SLC35F2
RHOQ,P2RX7,NKX2-1,SP7,SLC38A11
RIIAD1,P2RY12,NMBR,SPA17,SLC38A2
RMND1,P2RY13,NNAT,SPC24,SLC38A5
RNF215,P2RY2,NNMT,SPON1,SLC39A10
RNF24,P2RY6,NOA1,SPSB1,SLC39A8
ROMO1,PACSIN2,NOL4,SPSB4,SLC3A2
ROR2,PAOX,NOS1,SRD5A1,SLC40A1
RORB,PARP14,NOSIP,SRPK3,SLC43A3
RSAD1,PARVG,CCN3,SRPX2,SLC5A5
RSPH1,PCTP,NOVA2,SSH3,SLC5A6
RSPH9,PDCD1,NPAS4,SSTR1,SLC6A20
RTN3,PDE3B,NPFFR1,SSTR3,SLC6A6
RUFY4,PDGFB,NPNT,ST18,SLC7A1
S1PR1,PDLIM4,NPPC,ST8SIA1,SLC7A5
SALL3,PDXK,NPTX1,STAM,SLC9A2
SAR1B,PECR,NPTXR,STEAP1,SLC9A3R2
SARDH,PEPD,NPY,STK32A,SLCO1A2
SASH1,PES1,NPY1R,STK33,SLCO1B3
MSMO1,PF4,NPY2R,STK39,SLCO1C1
SCARA3,PFKFB3,NR1H4,STMN4,SLCO2A1
SCG3,PFN1,NR2F2,STRN,SLFN12L
SCP2,PGGT1B,NRDE2,STXBP6,SLFN5
SCTR,PGPEP1,NRG3,SULF1,SLK
SEC14L2,JADE2,NRIP3,SULF2,SMAD6
SEMA3B,PHF23,NRN1,SYCE2,SMOC2
SEMA6D,PHKA2,NRSN2,SYCP3,SMTN
SENP1,PHLDB3,NSD1,SYDE2,SNAI2
SEPTIN11,PHYHD1,NSF,SYNJ2,SNRK
SERHL2,PIGV,NSG1,SYNPO,SNRPB2
SFRP1,PIK3AP1,NSG2,SYTL5,SNTB2
SFRP5,PIK3C2A,NSRP1,SZT2,SNX7
PNISR,PIK3CD,NT5C1A,TACC2,SOD3
SFXN1,PIK3CG,NT5DC2,TAF9B,SOX13
SFXN2,PIK3R5,NT5DC3,TBC1D14,SOX17
SFXN5,PILRA,NTN5,TBC1D19,SOX18
SH3BGRL2,PILRB,NTNG2,TBC1D22B,SOX7
SH3PXD2B,PIM1,NTRK1,TBC1D23,SPATA4
SIGMAR1,PIP4K2A,NTS,TBC1D5,SPATA6
SIX5,PKN1,NTSR1,TBC1D8,SPTBN1
SLC10A1,PLA2G15,NUMBL,TBC1D9B,SPOCK2
SLC12A4,PLA2G2D,NUP35,TBX18,SPON2
SLC13A1,PLA2G4A,NXNL2,TCEAL6,SRMS
SLC13A3,PLA2G4D,NXPH2,TCEAL5,SRPRA
SLC13A5,PLAC8,NXPH3,TCF7L2,SSU72
SLC14A1,PLAGL2,NXPH4,TCFL5,ST3GAL1
SLC14A2,PLAU,NYX,TDRD7,ST3GAL6
SLC15A2,PLBD1,OCIAD2,TF,ST8SIA4
SLC1A2,PLCB2,TENM1,TFEB,ST8SIA6
SLC1A3,PLCG2,TENM4,TM7SF3,STAP2
SLC1A4,PLCL2,OGT,TMCC1,STARD13
SLC20A1,PLD3,OLFM1,TMCC3,STC1
SLC20A2,PLD4,OLFM3,TMEM100,STEAP4
SLC22A12,PLEK,OPN3,TMEM108,STK3
SLC22A4,PLEKHM2,OPRD1,TMEM121,STOM
SLC25A18,PLEKHO1,OPRK1,TMEM132B,STOX1
SLC25A21,PLEKHO2,OPRM1,TMEM132C,STRA6
SLC25A34,PLIN2,OSBPL5,TMEM132D,SUGT1
SLC25A42,PLOD1,OSCAR,TMEM132E,SYAP1
SLC26A5,PLOD3,OXTR,TMEM151A,SYNJ2BP
SLC26A6,PLSCR3,P2RX5,TMEM163,SYT15
SLC27A1,PLXDC1,PACSIN1,TMEM179,SYTL4
SLC2A10,PLXDC2,PAK3,TMEM196,TACR3
SLC2A4,PLXNB2,PAK6,CEMIP2,TAF7
SLC30A10,PMEPA1,PAK5,TMEM200B,TAGLN2
SLC38A3,PMM2,PALM2AKAP2,TMEM26,TAX1BP3
SLC39A12,PMP22,PALM3,TMEM40,TBC1D1
SLC39A14,PNP,PANX2,TMEM9,TBC1D2
SLC41A1,PNPLA7,PAPPA2,TMF1,TBRG1
SLC44A3,PNPO,PAQR9,TMOD1,TBX1
SLC4A4,PON3,PARP6,TMPRSS5,TBX2
SLC6A1,POR,PATZ1,TNFRSF13C,TBX3
SLC6A11,POU2F2,PAXBP1,TNPO1,TBX4
SLC6A9,PPCDC,PBRM1,TNR,TBXA2R
SLC7A10,PPP1R15A,PBX1,TNS3,TCEA1
SLC7A11,PPP1R3B,PBX3,TPD52L2,TCEA3
SLC7A2,PPP6R1,PCBP3,TPPP,TCF15
SLC9A3R1,PPRC1,PCDH17,TPPP3,TCF23
SLITRK2,PPT1,PCDHA1,TPX2,TCP11L2
SMC4,PPT2,PCDHA13,TRAF4,TEAD2
SMC5,SLC66A1,PCDHA2,TRAK2,TEAD4
SMDT1,PRG2,PCDHA3,TRIM27,TECRL
SMG1,PRKCD,PCDHA4,TP53INP2,TEK
SMIM8,PRPS1L1,PCDHA5,TSGA13,TNS2
SMO,PRPS2,PCDHA6,TSHZ3,TEPP
SMPD2,PSAP,PCDHA7,TSPAN2,TES
SMYD1,PSD4,PCDHAC2,TSPO2,TFPI
SNCAIP,PSMB10,PCDHGC4,TUB,TFPI2
SNED1,PSMB8,PCGF2,TUBB4A,TFRC
SNTB1,PSMB9,PCP4,TYW5,TGFB1I1
SOAT1,PTAFR,PCSK1,UBAP1,TGFBR3
SON,PTBP3,PCSK5,UBE2J2,THBD
SORBS1,PTGDS,PDCD1LG2,UBL3,THSD1
SORCS2,PTGER1,PDE1A,UBR3,TIAM1
SORL1,PTGER4,PDE4A,UCN,TIE1
SOX2,PTGR1,PDE4DIP,UGDH,TIMP1
SOX21,PTGS1,PDP1,UGT8,TINAGL1
SOX9,PTK2B,PDXP,UHRF1,TJP1
SP5,PTPN1,PDZD2,UNC80,TM4SF1
SP6,PTPN18,PDZD4,URI1,TANGO6
SPAG1,PTPN6,PDZD7,URM1,TMEM123
SPAG8,PTPN7,PEG10,USP16,TMEM154
SPAG9,PTPRC,PEG3,USP24,TMEM204
SPARCL1,PTPRCAP,PELI3,USP32,TMEM45A
SPATA17,PTPRJ,PENK,USP54,TMEM71
SPATA18,PTS,PFDN1,UST,TMEM88
SPATA22,PUS1,PFDN6,UTP14C,TMEM98
SPATA3,PUS10,PGBD5,VAMP1,TMIGD1
SPIRE1,PWWP2B,PGF,VAT1L,TMOD3
SPRY2,PXN,PGM2L1,VCAN,TMOD4
SPTAN1,PYCARD,PGR,VIPR2,TMTC2
SQLE,PYGL,PGRMC1,VLDLR,TNFAIP1
SREBF1,PYROXD2,PHC1,VMP1,TNFAIP8L1
SREK1,QPRT,PHC2,VPS13B,TNFRSF10A
SRSF10,QSOX1,PHC3,VSTM2B,TNFRSF11B
SRSF11,RAB11FIP5,PHF14,WASF1,TNFRSF18
ITPRID2,RAB17,PHF20L1,WDHD1,TNFRSF25
ST6GALNAC5,RAB20,PHF8,WFIKKN1,TNFRSF8
STK17B,RAB27A,PHIP,CCN6,TNFSF10
STK36,RAB32,PIAS2,WNT10A,TNKS1BP1
STK38L,RAB35,PIAS4,WNT4,TNS1
STON2,RAB39A,PIK3C2G,WNT6,TPD52L1
STT3B,RAB3IL1,PIP4K2B,XKR5,TPK1
SUCLG2,RAB43,PIP5KL1,XPO6,TRIB3
SUOX,RAB8B,PITPNM2,XRCC3,TRIM5
SYBU,RABEP2,PITPNM3,XYLT1,TRIM16
SYCP2,RAC2,PIWIL2,YTHDC2,TRIM25
SYNE1,RAD9A,PKIB,RTL4,TRIM6-TRIM34
SYNM,RAP2C,PLA2G4E,ZCCHC17,TRIM56
SYNPO2,RAPSN,PLA2G4F,ZCCHC24,TRIM69
SYPL2,RASA4,PLCD3,ZDHHC14,TRIOBP
SYT11,RASAL3,PLCH2,ZDHHC15,TRIP10
TACO1,RASD2,PLCXD2,ZDHHC2,TRPM6
TAF1,RASSF4,PLCXD3,ZDHHC23,TSC22D1
TAGLN,RASSF5,PLCZ1,ZFHX4,TSHZ2
TANK,RBM34,PLEK2,ZNF365,TSPAN13
TBCE,RBM38,PLEKHA5,ZFP41,TSPAN18
TFAP2C,RBM47,PLEKHA7,ZNF462,TSPAN5
TCTN3,RCAN1,PLG,ZNF579,TTC32
TEAD1,RCSD1,PLIN5,ZNF648,TTC7B
TECTB,REL,PLXNA2,ZNF791,TTR
TEKT1,RELA,PNCK,ZNF276,TXN
TEKT4,RELB,PNMA1,ZNF281,TYMS
TEKT5,RENBP,PNMA2,ZZEF1,UACA
TET2,RGS1,PNOC,SEPTIN5,UBE2D3
TEX9,RGS10,POGZ,,UBE2L6
TGFB2,RGS14,POLA1,,UBXN10
THBS1,RGS19,POLA2,,UBXN2A
THBS4,RGS2,POLR2D,,UNC45B
THEM4,RHBDF2,POMGNT2,,USHBP1
THOC1,RHOB,POPDC3,,USP18
THOC2,RHOG,POU4F1,,USP3
TIMM21,RHOH,PPARGC1B,,USP43
TIMP3,RILPL1,PPFIA2,,USP53
TJP2,RILPL2,PPIF,,USP6NL
TLCD1,RIN3,PPM1D,,UTP14A
TM7SF2,RINL,PPM1E,,UTRN
TMC7,RIPK3,PPP1R1B,,VAMP5
TMED1,RNASE10,PPP1R3F,,VANGL1
TLCD5,RNASE12,PPP3CB,,VEGFC
TMEM161B,RNASE4,PQBP1,,VIL1
TMEM176B,RNASE6,SLC66A3,,VIM
TMEM200C,RNASEL,PRDM8,,VSIG2
TMEM218,RNASET2,PREPL,,VTN
TMEM229A,RNF114,PRKACB,,VWA1
TMEM259,RNF166,PRKAR1B,,VWA3A
TMEM82,RNF19B,PRKAR2B,,VWF
TMEM86B,RNF213,PRKCE,,TCEAL9
TMPRSS7,RNH1,PRKCG,,WDR86
TNC,RNPEP,PRKRIP1,,WEE1
TNFAIP8,ROGDI,PRLHR,,WFDC1
TNFRSF19,RP2,PRMT8,,WNT5B
TNNI3,RPL10,PROKR2,,WWC2
TNNT3,RPL19,PROX1,,WWTR1
TOB1,RPL3,PRPH,,XAF1
TOM1L1,RPL30,PRPS1,,XIAP
TOM1L2,RPS6KA1,PRR12,,YES1
TPBG,RPS6KA4,PRRC2B,,ZAP70
TPMT,RPTOR,PRRT2,,TUT7
TRAF3,RRAD,PRTN3,,ZDHHC20
TRAK1,RRAGA,PRUNE2,,ZFAND2A
TRH,RRAGC,PSD,,ZNF277
TRIB2,RTN4RL1,PSME4,,ZNF366
TRIL,RUFY1,PTCHD1,,ZFP69
TRIM9,SNX29,PTH2R,,ZIC3
TRIP11,RUNX1,PTPRN2,,
TRMT12,RUNX3,QSER1,,
TRPM3,RXRA,RAB11FIP2,,
TRPM7,RXRB,RAB11FIP4,,
TRPS1,S100A8,RAB26,,
TSC22D4,S100A9,RAB3A,,
TSGA10,S1PR4,RAB3B,,
TSKU,SAG,RAB3C,,
TSPAN7,SALL1,RAB3D,,
TST,SAMHD1,RAB6B,,
TTC12,SAP30,RAB9B,,
TTC14,SASH3,RABIF,,
TTC21A,SAT1,RAC3,,
TTC21B,SBNO2,RADIL,,
TTC37,SCAMP2,RAI1,,
TTC9,SCLY,RAI2,,
TTLL4,SCPEP1,RALGPS2,,
TTLL8,SDC4,RALYL,,
TTPA,SELPLG,RAMP3,,
TTYH1,SERINC3,RAPGEFL1,,
TTYH3,SERPINB6,RARB,,
TULP3,SERPINB8,RASGEF1A,,
TXNRD3,SERPINE1,RASGEF1C,,
UBE2F,SERPINF1,RASGRF2,,
UCP3,SERPINF2,RASGRP2,,
UGT1A6,SFT2D1,RASSF6,,
UPF3B,SFT2D2,RASSF7,,
UPP1,SGK1,RBFOX1,,
UQCRHL,SGPL1,RBFOX2,,
VAV3,SGSH,RBM15B,,
VCAM1,SH2B2,RBM4,,
VCL,SH2B3,RBM4B,,
VEGFA,SH3BP1,RBMS3,,
VEPH1,SH3BP2,RCAN2,,
VEZT,SH3KBP1,RCAN3,,
VGLL2,SH3PXD2A,RCOR2,,
VHL,SH3TC1,RELL2,,
VIT,SHB,RELN,,
VNN1,SHC1,REM2,,
VPS13C,SHKBP1,RETN,,
VPS13D,SHMT1,RFX1,,
VWA8,SIAE,RFX3,,
WASF3,SIGLEC1,RTL9,,
CFAP52,SIGLEC8,RGMB,,
WDR19,SIGLEC9,RGS11,,
WDR35,SIGLEC10,RGS17,,
CFAP44,SIPA1,RGS4,,
WDR5B,SIRPA,RGS7BP,,
DYNC2I1,SKAP2,RGS8,,
DNAI3,SKI,RHBDL1,,
DNAI4,SLA,RHOF,,
CFAP43,SLAMF1,RHOV,,
WIPI1,SLAMF6,RIMBP2,,
WNT7A,SLAMF8,RIMS3,,
WSB1,SLAMF9,RIMS4,,
WWC1,SLC10A3,RIPK4,,
XKRX,SLC10A6,RIT2,,
YAP1,SLC11A1,CARMIL2,,
ZBTB20,SLC11A2,RNASEH2B,,
ZBTB25,SLC12A7,RND3,,
ZBTB37,SLC15A3,RNF152,,
ZBTB41,SLC15A4,RNF165,,
ZDHHC21,SLC16A10,RNF214,,
ZFC3H1,SLC16A3,RNF39,,
ZNF546,SLC16A6,RNFT2,,
ZNF112,SLC17A9,RNPC3,,
ZNF142,SLC25A10,ROBO2,,
ZNF665,SLC25A45,RPP25,,
ZNF280C,SLC29A1,RPS19BP1,,
ZFP36L2,SLC29A3,RSPH4A,,
ZNF449,SLC2A5,RSPO1,,
ZNF507,SLC2A8,RSPO2,,
ZNF780A,SLC2A9,RSPO3,,
ZNF2,SLC30A3,RTBDN,,
ZNF799,SLC35A3,RTL1,,
ZNF839,SLC35C2,RTN1,,
ZNF879,SLC36A1,RTN4R,,
ZFYVE16,SLC36A2,RTN4RL2,,
ZHX2,SLC37A2,RUFY3,,
ZHX3,SLC38A10,RUNDC3B,,
ZMYND10,SLC38A7,RUNX1T1,,
ZNRF3,SLC39A1,RUSC1,,
ZRANB3,SLC39A4,RXFP1,,
ZSCAN12,SLC43A1,RYR2,,
ZSCAN20,SLC43A2,SAMD10,,
MARCHF2,SLC44A2,SAMD14,,
SEPTIN9,SLC46A1,SAMD3,,
KIAA0100,SLC5A10,SAP130,,
,SLC7A7,SARM1,,
,SLC7A8,SATB2,,
,SLC9A9,SBK1,,
,SLCO2B1,SBSN,,
,SLCO4A1,SCAI,,
,SLFN13,SCG2,,
,SLMAP,SCMH1,,
,SMAD3,SCML4,,
,SMAP2,SCN2B,,
,SMARCD2,SCN3B,,
,SMCR8,SCN4B,,
,SMPDL3B,SCN5A,,
,SNN,SCN9A,,
,SNTA1,SCRT1,,
,SNX17,SCRT2,,
,SNX2,SCUBE3,,
,SNX20,SCX,,
,SNX5,SDK2,,
,SNX8,SDR39U1,,
,SNX9,SDSL,,
,SOAT2,SEMA3A,,
,SOCS3,SEMA4G,,
,SORD,SEMA6C,,
,SOX15,SENP3,,
,SP110,SENP7,,
,SP140,SEPTIN3,,
,SPATA13,SEPTIN6,,
,SPCS3,SERP2,,
,SPG11,SERPINC1,,
,SPG21,SERPINI1,,
,SPHK1,SERTAD4,,
,SPHK2,SETD2,,
,SPI1,SEZ6,,
,SPIB,SEZ6L2,,
,SPIC,SFSWAP,,
,SPN,SFXN3,,
,SPNS3,SGIP1,,
,SPP1,SGSM1,,
,SQOR,SGTB,,
,SRD5A3,SH2D7,,
,SRGAP2,SH3GL2,,
,SRRD,SH3RF3,,
,SRSF6,SH3YL1,,
,SRSF9,SHANK1,,
,SRXN1,SHANK2,,
,ST14,SHISA6,,
,ST3GAL2,SIDT1,,
,ST6GALNAC4,SIN3B,,
,STAB1,SIPA1L1,,
,STAMBPL1,SIPA1L3,,
,STARD3,SIRT6,,
,STAT1,SIX3,,
,STAT2,SLC10A4,,
,STAT5B,SLC12A5,,
,STAT6,SLC17A6,,
,STK10,SLC17A8,,
,STK11IP,SLC18A2,,
,STK40,SLC18A3,,
,STX11,SLC22A15,,
,STXBP2,SLC24A2,,
,STXBP5,SLC24A3,,
,SUMO3,SLC25A22,,
,SUN2,SLC25A27,,
,SUSD3,SLC27A2,,
,SYK,SLC27A3,,
,SYNGR1,SLC2A13,,
,SYNGR2,SLC2A3,,
,TAGAP,SLC32A1,,
,TAOK3,SLC35D3,,
,TAP1,SLC35E1,,
,TAP2,SLC35F4,,
,TAPBP,SLC37A1,,
,TAPBPL,SLC38A1,,
,TATDN2,SLC38A4,,
,TBC1D10A,SLC5A7,,
,TBC1D10C,SLC6A15,,
,TBC1D13,SLC6A17,,
,TBC1D22A,SLC6A7,,
,TBC1D2B,SLC7A14,,
,TBXAS1,SLC7A4,,
,TCAP,SLC9A6,,
,TFEC,SLCO5A1,,
,TCIRG1,SLFN13,,
,TCN2,SLIT1,,
,TEP1,SLIT3,,
,TFE3,SMARCA5,,
,TGFB1,SMARCAL1,,
,TGFBI,SMARCD3,,
,TGFBR1,SMG7,,
,TGFBRAP1,SMG8,,
,TGIF1,SMPD3,,
,TGIF2,SMPD4,,
,TGM1,SMS,,
,TGM2,SNAP25,,
,THEMIS2,SNAP91,,
,TICAM1,SNCA,,
,TICAM2,SNCB,,
,TIFA,SNRPN,,
,TIFAB,SNTG2,,
,TIMD4,SNX10,,
,TK1,SNX16,,
,TK2,SNX21,,
,TLCD2,SOBP,,
,TLE3,SOX11,,
,TLN1,SOX4,,
,TLR1,SP8,,
,TLR2,SP9,,
,TLR3,SPATA2L,,
,TLR5,SPC25,,
,TLR6,SPDEF,,
,TLR7,SPEN,,
,TLR8,SPHKAP,,
,TLR9,SPIN1,,
,TMCO4,SPINT2,,
,TMEM104,SPTBN4,,
,TMEM106A,SPOCK1,,
,TMEM119,SPRYD3,,
,TMEM120A,SRGAP3,,
,STING1,SRRM4,,
,TMEM179B,SS18L1,,
,TMEM185B,SSBP2,,
,TMEM202,SSBP3,,
,PACC1,SSH2,,
,TMEM219,ZNRD2,,
,TMEM221,SST,,
,TMEM52,SSTR2,,
,TMEM63A,SSTR4,,
,TMEM86A,ST7,,
,MYMK,ST8SIA2,,
,TNF,ST8SIA3,,
,TNFAIP2,ST8SIA5,,
,TNFAIP3,STAC,,
,TNFAIP8L2,STAU2,,
,TNFRSF11A,STK32B,,
,TNFRSF13B,STK32C,,
,TNFRSF14,STMN1,,
,TNFRSF17,STMN2,,
,TNFRSF1A,STMN3,,
,TNFRSF1B,STRBP,,
,TNFSF13,STX19,,
,TNFSF14,STX1A,,
,TNFSF18,STX1B,,
,TNIP2,STXBP1,,
,TNNI2,SUDS3,,
,TNS4,SUGP1,,
,TOP3A,SUGP2,,
,TOR3A,SULT4A1,,
,TOR4A,SUSD2,,
,TPD52,SUV39H2,,
,TPM3,SUZ12,,
,TPP1,SV2B,,
,TPST2,SV2C,,
,TRADD,SVOP,,
,TRAF2,SYN1,,
,TRAF3IP3,SYN2,,
,TRAF5,SYN3,,
,TREM1,SYNE2,,
,TREM2,SYNGAP1,,
,TREML1,SYNGR3,,
,TREML2,SYNPR,,
,TREX1,SYP,,
,TRIB1,SYT1,,
,TRIM14,SYT10,,
,TRIM21,SYT13,,
,TRIM47,SYT17,,
,TRIM65,SYT2,,
,TRMT2A,SYT3,,
,TRPM2,SYT4,,
,TRPM4,SYT5,,
,TRPV2,SYT6,,
,TRPV4,SYT7,,
,TSLP,SYTL1,,
,TSPAN14,TAC3,,
,TSPAN32,TACC3,,
,TSPAN33,TACR1,,
,TSPAN8,TANC2,,
,TTC39B,TAS1R1,,
,TTC7A,TASP1,,
,TUBA4A,TBC1D7,,
,TUBB1,TBR1,,
,TUBB6,TBX6,,
,TWF2,TCEAL7,,
,TXNIP,TCERG1L,,
,TXNRD1,TCF20,,
,TYROBP,TCF4,,
,UAP1L1,TFAP2D,,
,UBA7,TCP11,,
,UBASH3B,TDRD3,,
,UBC,TDRD6,,
,UBE2G2,TECTA,,
,UCP2,TEKT2,,
,UGT1A10,TERF2,,
,UHRF1BP1,TERF2IP,,
,UMPS,TET3,,
,UNC13D,TEX15,,
,UNC93B1,TEX30,,
,USP25,TH,,
,USP35,THBS2,,
,VAMP8,THSD7A,,
,VASP,THSD7B,,
,VAV1,THY1,,
,VAV2,TIAM2,,
,VIPR1,TIMELESS,,
,VPREB3,TLK2,,
,VPS18,TM4SF5,,
,VPS26A,TMEM130,,
,VPS37B,TMEM132A,,
,VRK2,TMEM145,,
,VWA5A,TMEM150C,,
,WAS,TMEM158,,
,WASF2,TMEM169,,
,WDFY2,TMEM178A,,
,WDFY4,TMEM198,,
,WDR55,TMEM200A,,
,WDR81,TMEM210,,
,WNT11,TMEM35A,,
,WWP2,TMEM59L,,
,PALD1,TMEM63C,,
,XCR1,SYNDIG1L,,
,XDH,TMEM91,,
,XIRP1,TMPPE,,
,YKT6,TMPRSS2,,
,ZBTB32,TNFAIP8L3,,
,ZBTB8OS,TNRC6C,,
,ZC3H10,TOP2A,,
,ZC3H12A,TRANK1,,
,ZC3H6,TRAPPC6B,,
,ZC3HAV1,TFR2,,
,ZFHX3,TRHDE,,
,ZNF296,TRIM17,,
,ZFP36,TRIM33,,
,ZNF385A,TRIM46,,
,ZNF513,TRIM66,,
,ZNF691,TRIM67,,
,ZNF697,TRNP1,,
,ZNF703,TRO,,
,ZNF710,TP53I11,,
,ZFPM1,TP73,,
,ZFYVE26,TRPC3,,
,ZMYND15,TRPC4,,
,ZNFX1,TRPC5,,
,ZSWIM4,TRPC6,,
,ZYX,TRPC7,,
,,TRPV1,,
,,TRPV6,,
,,TRRAP,,
,,TSC22D2,,
,,TSPAN11,,
,,TSPYL4,,
,,TTBK2,,
,,TTC22,,
,,TTC26,,
,,TTC34,,
,,TTC39A,,
,,TTC9B,,
,,TTL,,
,,TUBA8,,
,,TUBB2A,,
,,TUBB2B,,
,,TUBB3,,
,,TUBG2,,
,,TUFT1,,
,,TULP1,,
,,TUSC3,,
,,TWSG1,,
,,UBE2C,,
,,UBE2O,,
,,UBE2QL1,,
,,UBE2V2,,
,,UBFD1,,
,,UBQLN1,,
,,UBQLN2,,
,,UCHL1,,
,,UFSP1,,
,,UGGT2,,
,,ULK1,,
,,UNC119,,
,,UNC13A,,
,,UNC5A,,
,,UNC5D,,
,,UPF2,,
,,UPK3A,,
,,UPP2,,
,,URB1,,
,,USP11,,
,,USP22,,
,,USP28,,
,,USP29,,
,,USP48,,
,,USP9X,,
,,UTP23,,
,,UTP3,,
,,VAMP2,,
,,VASH2,,
,,VAX1,,
,,VEZF1,,
,,VGF,,
,,VIP,,
,,VKORC1L1,,
,,VOPP1,,
,,DCAF1,,
,,VSNL1,,
,,VSTM2A,,
,,VSTM2L,,
,,VWA5B2,,
,,VWC2,,
,,VWC2L,,
,,VWCE,,
,,WDR47,,
,,WDR6,,
,,WDR74,,
,,DPH7,,
,,WHRN,,
,,NSD3,,
,,WIF1,,
,,WIPF3,,
,,WIZ,,
,,WNT2,,
,,WSCD2,,
,,XKR4,,
,,XKR7,,
,,XXYLT1,,
,,YBX2,,
,,YDJC,,
,,YPEL1,,
,,YPEL4,,
,,YRDC,,
,,YWHAG,,
,,ZBTB12,,
,,ZBTB16,,
,,ZBTB18,,
,,ZBTB8B,,
,,ZC2HC1A,,
,,ZCCHC12,,
,,ZCCHC18,,
,,ZDBF2,,
,,ZDHHC22,,
,,ZNF292,,
,,ZNF362,,
,,ZFP37,,
,,ZNF385B,,
,,ZFP57,,
,,ZNF575,,
,,ZFP62,,
,,ZNF644,,
,,ZNF667,,
,,ZNF711,,
,,ZNF804A,,
,,ZNF804B,,
,,ZNF821,,
,,ZFP92,,
,,ZFPM2,,
,,ZFR2,,
,,ZIC1,,
,,ZIC2,,
,,ZIC4,,
,,ZNF483,,
,,ZMAT4,,
,,ZMYM2,,
,,ZMYM3,,
,,ZNF143,,
,,ZNF148,,
,,RNF114,,
,,ZNF280C,,
,,ZNF280D,,
,,ZNF423,,
,,ZNF521,,
,,ZNF536,,
,,ZNF609,,
,,ZNF668,,
,,ZNF704,,
,,ZPBP,,
,,ZSCAN21,,
,,ZWINT,,
,,SHTN1,,
